title,tx_freq,rx_freq,tx_sub_audio(CTCSS=freq/DCS=number),rx_sub_audio(CTCSS=freq/DCS=number),tx_power(H/M/L),bandwidth(12500/25000),scan(0=OFF/1=ON),talk_around(0=OFF/1=ON),pre_de_emph_bypass(0=OFF/1=ON),sign(0=OFF/1=ON),tx_dis(0=OFF/1=ON),mute(0=OFF/1=ON),rx_modulation(0=FM/1=AM),tx_modulation(0=FM/1=AM)
Blenheim,146350000,146950000,0,0,H,25000,1,0,0,0,0,0,0,0
Picton,147825000,147225000,0,0,H,25000,1,0,0,0,0,0,0,0
Nelson,147800000,147200000,0,0,H,25000,1,0,0,0,0,0,0,0
GoldenBa,147975000,147375000,0,0,H,25000,1,0,0,0,0,0,0,0
Motueka,146100000,146700000,0,0,H,25000,1,0,0,0,0,0,0,0
Nelson2,147625000,147025000,0,0,H,25000,1,0,0,0,0,0,0,0
Ward,145000000,145600000,0,0,H,25000,1,0,0,0,0,0,0,0
MtMurchi,146200000,146800000,0,0,H,25000,1,0,0,0,0,0,0,0
NthCante,146375000,146975000,0,0,H,25000,1,0,0,0,0,0,0,0
Westport,146150000,146750000,0,0,H,25000,1,0,0,0,0,0,0,0
Kaikoura,146300000,146900000,0,0,H,25000,1,0,0,0,0,0,0,0
Greymout,146350000,146950000,0,0,H,25000,1,0,0,0,0,0,0,0
MtGrey,146150000,146750000,12300,0,H,25000,1,0,0,0,0,0,0,0
AbnersHe,145175000,145775000,0,0,H,25000,1,0,0,0,0,0,0,0
CassPeak,53850000,53850000,0,0,H,25000,1,0,0,0,0,0,0,0
ChchIRLP,145025000,145625000,0,0,H,25000,1,0,0,0,0,0,0,0
Chch,147650000,147050000,12300,0,H,25000,1,0,0,0,0,0,0,0
Canterbu,147850000,147250000,12300,0,H,25000,1,0,0,0,0,0,0,0
MtStBath,147375000,146775000,8850,0,H,25000,1,0,0,0,0,0,0,0
MtAdmira,147975000,147375000,0,0,H,25000,1,0,0,0,0,0,0,0
Tekapo,146200000,146800000,0,0,H,25000,1,0,0,0,0,0,0,0
Timaru,146025000,146625000,0,0,H,25000,1,0,0,0,0,0,0,0
Waitaki,146350000,146950000,0,0,H,25000,1,0,0,0,0,0,0,0
Oamaru,146100000,146700000,0,0,H,25000,1,0,0,0,0,0,0,0
Queensto,146250000,146850000,8850,0,H,25000,1,0,0,0,0,0,0,0
Alexandr,146400000,147000000,0,0,H,25000,1,0,0,0,0,0,0,0
Dunedin,146300000,146900000,0,0,H,25000,1,0,0,0,0,0,0,0
DunedinI,146050000,146650000,0,0,H,25000,1,0,0,0,0,0,0,0
Gore,146350000,146950000,0,0,H,25000,1,0,0,0,0,0,0,0
Balcluth,146150000,146750000,0,0,H,25000,1,0,0,0,0,0,0,0
Invercar,146200000,146800000,8850,0,H,25000,1,0,0,0,0,0,0,0
Invercar,145175000,145775000,0,0,H,25000,1,0,0,0,0,0,0,0
